bus_id,phase,scenario,p_pu,q_pu
B85,a,h036,-0.001152,-0.00023392357705037285
B86,a,h036,-0.001152,-0.00023392357705037285
B91,a,h036,-0.006144,-0.0012475924109353219
B94,b,h036,-0.006528,-0.0013255669366187795
B95,b,h036,-0.00576,-0.0011696178852518642
B97,c,h036,-0.002304,-0.0004678471541007457
B100,a,h036,-0.00384,-0.0007797452568345763
B13,a,h037,-0.003072,-0.0006237962054676609
B26,c,h037,-0.001536,-0.00031189810273383046
B27,c,h037,-0.000768,-0.00015594905136691523
B29,c,h037,-0.002304,-0.0004678471541007457
B30,c,h037,-0.003456,-0.0007017707311511186
B32,c,h037,-0.001152,-0.00023392357705037285
B40,a,h037,0.018816,-0.0006237962054676609
B52,c,h037,-0.003456,-0.0007017707311511186
B61,c,h037,-0.000768,-0.00015594905136691523
B73,b,h037,-0.000384,-7.797452568345762e-5
B78,c,h037,-0.001536,-0.00031189810273383046
B79,c,h037,-0.00192,-0.00038987262841728813
B80,c,h037,-0.001152,-0.00023392357705037285
B85,a,h037,-0.001152,-0.00023392357705037285
B86,a,h037,-0.001152,-0.00023392357705037285
B91,a,h037,-0.002304,-0.0004678471541007457
B94,b,h037,-0.00576,-0.0011696178852518642
B95,b,h037,-0.005376000000000001,-0.0010916433595684067
B97,c,h037,-0.00192,-0.00038987262841728813
B100,a,h037,-0.003456,-0.0007017707311511186
B13,a,h038,-0.006528,-0.0013255669366187795
B26,c,h038,-0.001152,-0.00023392357705037285
B27,c,h038,-0.001536,-0.00031189810273383046
B29,c,h038,-0.0026880000000000003,-0.0005458216797842034
B30,c,h038,-0.003456,-0.0007017707311511186
B32,c,h038,-0.001152,-0.00023392357705037285
B40,a,h038,0.018816,-0.0004678471541007456
B52,c,h038,-0.003072,-0.0006237962054676609
B61,c,h038,-0.000384,-7.797452568345762e-5
B78,c,h038,-0.001152,-0.00023392357705037285
B79,c,h038,-0.000768,-0.00015594905136691523
B80,c,h038,-0.001536,-0.00031189810273383046
B85,a,h038,-0.0026880000000000003,-0.0005458216797842034
B86,a,h038,-0.000384,-7.797452568345762e-5
B91,a,h038,-0.000384,-7.797452568345762e-5
B94,b,h038,-0.004992,-0.001013668833884949
B95,b,h038,-0.00576,-0.0011696178852518642
